time	0_8m	0_8m_stdev	2m	2m_stdev
33:20	0.01823264	0.002469	0.02090494	0.00240892
33:40	0.01850724	0.00270683	0.02053008	0.00241597
34:00	0.01868034	0.00320257	0.01989732	0.00220832
34:20	0.01760598	0.00190143	0.02038546	0.00226006
34:40	0.01786	0.00202252	0.02027568	0.00239125
35:00	0.01751052	0.00213199	0.019484	0.00251774
35:20	0.01745696	0.00195947	0.01944906	0.00232661
35:40	0.01766598	0.0024228	0.01906912	0.00189528
36:00	0.0176423	0.00218879	0.01936474	0.00239388
36:20	0.0169893	0.00181583	0.01895146	0.001794
36:40	0.01734932	0.0023489	0.01871792	0.00188023
37:00	0.01690222	0.00228251	0.01881004	0.00204208
37:20	0.016897	0.0019699	0.01941168	0.00207059
37:40	0.0169144	0.0024013	0.0186957	0.00226642
38:00	0.01654364	0.00191538	0.01835026	0.00233983
38:20	0.01650948	0.00222188	0.01809886	0.00195547
38:40	0.016363	0.00226991	0.01823102	0.00207381
39:00	0.01623054	0.00198465	0.01888906	0.00272995
39:20	0.01640004	0.00198131	0.01837088	0.00167676
39:40	0.01588296	0.0018501	0.01784248	0.00194519
40:00	0.01620898	0.00149306	0.0178965	0.00195557
40:20	0.01631226	0.00238873	0.01766046	0.00168954
40:40	0.01591072	0.00213007	0.0182111	0.00220864
41:00	0.01629442	0.00104494	0.0177494	0.00194289
41:20	0.01555998	0.00205243	0.01761294	0.00214219
41:40	0.01522986	0.001753	0.01803722	0.00231236
42:00	0.01580156	0.00197683	0.0171877	0.00228915
42:20	0.01557642	0.00235743	0.01711718	0.00161742
42:40	0.01513166	0.00138971	0.0172901	0.00247197
43:00	0.0159118	0.00272376	0.01722932	0.00205943
43:20	0.0153585	0.00168432	0.01813626	0.00340691
43:40	0.01530714	0.00185307	0.01746942	0.0021482
44:00	0.01519404	0.00146696	0.01651978	0.00179476
44:20	0.01527276	0.00217686	0.01714526	0.00175267
44:40	0.01525174	0.00242035	0.0163858	0.00191284
45:00	0.01488398	0.00197404	0.01659888	0.00193504
